0000009001001,NOMINA,2026-06-08T14:10:00,3000009001,20,2632.12
1,001,0100000001,Cliente BanQuito 01,1,125.50,NOM-20260608-V4-001,cliente01@banquito.test
2,001,0100000002,Cliente BanQuito 02,2,98.75,NOM-20260608-V4-002,cliente02@banquito.test
3,001,0100000003,Cliente BanQuito 03,3,142.30,NOM-20260608-V4-003,cliente03@banquito.test
4,001,0100000004,Cliente BanQuito 04,4,87.40,NOM-20260608-V4-004,cliente04@banquito.test
5,001,0100000005,Cliente BanQuito 05,5,156.90,NOM-20260608-V4-005,cliente05@banquito.test
6,001,0100000006,Cliente BanQuito 06,6,111.25,NOM-20260608-V4-006,cliente06@banquito.test
7,001,0100000007,Cliente BanQuito 07,7,134.80,NOM-20260608-V4-007,cliente07@banquito.test
8,001,0100000008,Cliente BanQuito 08,8,92.60,NOM-20260608-V4-008,cliente08@banquito.test
9,001,0100000009,Cliente BanQuito 09,9,178.45,NOM-20260608-V4-009,cliente09@banquito.test
10,001,0100000010,Cliente BanQuito 10,10,103.20,NOM-20260608-V4-010,cliente10@banquito.test
11,001,0100000011,Cliente BanQuito 11,11,149.99,NOM-20260608-V4-011,cliente11@banquito.test
12,001,0100000012,Cliente BanQuito 12,12,76.85,NOM-20260608-V4-012,cliente12@banquito.test
13,001,0100000013,Cliente BanQuito 13,13,165.10,NOM-20260608-V4-013,cliente13@banquito.test
14,001,0100000014,Cliente BanQuito 14,14,119.70,NOM-20260608-V4-014,cliente14@banquito.test
15,001,0100000015,Cliente BanQuito 15,15,132.45,NOM-20260608-V4-015,cliente15@banquito.test
16,001,0100000016,Cliente BanQuito 16,16,88.90,NOM-20260608-V4-016,cliente16@banquito.test
17,001,0100000017,Cliente BanQuito 17,17,144.65,NOM-20260608-V4-017,cliente17@banquito.test
18,001,0100000018,Cliente BanQuito 18,18,97.35,NOM-20260608-V4-018,cliente18@banquito.test
19,001,0100000019,Cliente BanQuito 19,19,151.55,NOM-20260608-V4-019,cliente19@banquito.test
20,001,0100000020,Cliente BanQuito 20,20,274.43,NOM-20260608-V4-020,cliente20@banquito.test
SEC-NOM-20260608-V4,20,2632.12
